currentGen,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10,iteration11,iteration12,iteration13,iteration14,iteration15,iteration16,iteration17,iteration18,iteration19,iteration20,iteration21,iteration22,iteration23,iteration24,iteration25,iteration26,iteration27,iteration28,iteration29,iteration30,iteration31,iteration32,iteration33,iteration34,iteration35,iteration36,iteration37,iteration38,iteration39,iteration40,iteration41,iteration42,iteration43,iteration44,iteration45,iteration46,iteration47,iteration48,iteration49,iteration50,iteration51,iteration52,iteration53,iteration54,iteration55,iteration56,iteration57,iteration58,iteration59,iteration60,iteration61,iteration62,iteration63,iteration64,iteration65,iteration66,iteration67,iteration68,iteration69,iteration70,iteration71,iteration72,iteration73,iteration74,iteration75,iteration76,iteration77,iteration78,iteration79,iteration80,iteration81,iteration82,iteration83,iteration84,iteration85,iteration86,iteration87,iteration88,iteration89,iteration90,iteration91,iteration92,iteration93,iteration94,iteration95,iteration96,iteration97,iteration98,iteration99,iteration100,mean
0,0.010485777655956562,0.0015412984160374926,0.0052545217765557865,0.00042944876099580465,1.846384966941629e-05,0.0031828738833280645,0.00028492452050471944,0.004297524323285614,0.000899038356627913,0.002058309161053488,0.0011372852086288317,0.004275366387186772,0.0001306030576308125,0.002351669489139936,0.0013484943399766896,0.001092682191839423,0.0053725523183454135,0.0007280753187122996,0.0014090525974650445,0.0011357426828104728,0.004316291720520959,0.0012825548217400185,0.0008302394020550938,0.003003706296474545,0.0010646585698103886,0.00915671564977083,0.00014655909919418806,0.007237159591289507,0.005031186068152595,0.0018258084068712784,0.0010148673962794368,0.011187416389551943,0.00742581915265885,0.0009773082342172286,0.003416183955155281,0.006401941655542481,0.018335402043821992,0.00020706529656274648,0.0028439445486439906,0.0001694577025234996,0.002570978258560858,0.0017698526857921203,0.00016122060671415993,0.004625056670929372,0.0015247897761214413,0.0014436196019614635,0.003119321500472949,0.002538458941617995,0.00014428250543692194,0.006670772960610579,0.001914167389175981,0.0027377051697144144,0.008950001120863816,0.002029985522804035,0.0006158840203987384,0.00014235666774714805,0.002082623928318185,0.0007963208224960703,0.0023677865000177206,0.0007933622515483382,0.006875457946883498,0.001917378289088739,0.003939266958095526,0.005121096485087568,0.0011438559443712846,0.0002137747774304608,0.0015657833895073294,0.01202448677965584,0.002952353577967609,0.00014418108934038796,0.00735924003606293,0.005227789865721208,0.0008483757695221644,0.0031000825672426887,0.0023666912323063497,0.0001919514248269131,0.00040930832224169117,0.00027934327071593896,0.004756399632528044,0.0026375266649054604,0.0032350490483011043,0.00011675631110963148,0.0011052080897414882,3.2495114134626825e-05,0.0008383451452362433,0.0017472230518214868,0.0006728622816116604,0.001482972711316378,0.009477005531973452,0.0021251202452144975,0.0014663370264384784,0.009642361659707895,0.001061413481459453,0.0012670583781099504,0.0007013331529874204,0.0008059669541146215,0.0005026503594566717,0.003872392291284427,0.0042463859630228334,0.0003675201620515655,0.002881473381804853
1,0.00879048937076381,0.0014702880822359688,0.0030869420307414724,0.00042944876099580465,1.846384966941629e-05,0.00072505713125095,0.00028492452050471944,0.00010768874399230016,0.000899038356627913,0.000996188281976624,0.0011372852086288317,0.0019370197266043308,0.0001306030576308125,0.0010627609989472381,0.0013484943399766896,0.0006895980258055206,0.0012145587225305186,0.0007280753187122996,0.000598274148720775,0.0011071562431217569,0.0010423583394268332,0.0012825548217400185,0.0006438169715023673,0.003003706296474545,0.00022687692630045728,7.157166401602105e-05,0.00014655909919418806,0.007237159591289507,4.175464698463118e-05,0.0018258084068712784,0.0010148673962794368,0.0027510120937020437,0.006543607817405721,0.0009773082342172286,0.003416183955155281,0.0015335353468808092,0.0017931973133163436,0.00020706529656274648,0.00014394916316381673,0.0001694577025234996,0.0018287058977758926,0.0017698526857921203,0.00016122060671415993,0.003952584767024868,0.0011229164928122115,0.0008206286832701673,6.666921405467974e-05,0.0006790898420034811,0.00014428250543692194,0.0008625033508505358,0.001914167389175981,0.00011726926484104875,0.008950001120863816,0.0020149354434911377,0.0006158840203987384,0.00014235666774714805,0.00044415480869051846,5.607177569000467e-06,0.000647515331800761,0.0007933622515483382,0.006875457946883498,0.001917378289088739,0.003939266958095526,0.005121096485087568,0.0011438559443712846,7.832945385752267e-05,0.0015185460699925551,0.0015321301194474398,0.002952353577967609,0.00014418108934038796,1.1073400781187037e-05,0.00018063642971546457,0.00018774271099470448,0.0031000825672426887,0.0023666912323063497,0.0001919514248269131,0.00040930832224169117,0.00027934327071593896,0.003312925916414679,0.0026375266649054604,0.0032350490483011043,0.00011675631110963148,9.695964513757859e-05,3.2495114134626825e-05,0.0008383451452362433,0.0017472230518214868,0.00034293335068981895,0.001482972711316378,0.006921993379833043,0.0004622911169581813,0.0012039230241497106,0.0017437226855745152,0.00030793814711730223,0.0012670583781099504,0.0007013331529874204,0.0008059669541146215,0.0005026503594566717,0.00020544779003157216,0.0042463859630228334,0.0001939650554155853,0.0015224370178310148
2,0.00368470959284416,0.0008225692968229492,0.0030869420307414724,4.5682347807389064e-05,1.846384966941629e-05,0.00072505713125095,0.00028492452050471944,7.018954114926032e-05,0.000899038356627913,0.00040523447290629933,0.0011372852086288317,1.0698868617699252e-05,0.0001306030576308125,0.0005034946052364082,0.0013484943399766896,0.0006895980258055206,4.5683868480731907e-05,0.0007280753187122996,0.0005061464284714449,1.3187203533931846e-05,0.0010423583394268332,0.0012825548217400185,0.0006438169715023673,0.003003706296474545,0.00022687692630045728,7.157166401602105e-05,0.00014655909919418806,0.006284316104582761,4.175464698463118e-05,0.00015600809119827264,0.0007886992713683524,0.0027510120937020437,0.0034797701409106656,0.0007683020994179941,0.0007336853382869367,8.246561427799723e-05,0.0017931973133163436,0.00020706529656274648,0.00014394916316381673,0.0001694577025234996,0.0018287058977758926,0.00029082138680824724,0.00016122060671415993,0.001189289371374806,0.0005008312789993823,5.8476656535325787e-05,6.666921405467974e-05,3.9032742061878655e-05,3.370708397086503e-05,0.0004339926752235782,0.001914167389175981,0.00011726926484104875,0.0008041206037967403,0.0020149354434911377,6.426439710788536e-05,0.00014235666774714805,0.00013524297359379447,5.607177569000467e-06,3.5899513227045494e-05,0.0007933622515483382,0.00010250193453074181,0.001917378289088739,0.0004334087614794832,4.693096942988285e-05,0.0011438559443712846,7.832945385752267e-05,0.0008133455550679379,0.00080252636115602,0.0002729352867266943,0.00014418108934038796,1.1073400781187037e-05,0.00018063642971546457,0.00018774271099470448,0.0031000825672426887,0.000810633949944835,0.0001919514248269131,6.31373530292075e-05,0.00027934327071593896,0.00038822686293878475,0.0026375266649054604,0.001587486121320532,4.257055805800361e-05,9.695964513757859e-05,3.2495114134626825e-05,0.00010315151036978822,0.0013035095014848077,0.0002261050944348795,0.001482972711316378,0.0004597119521977398,6.296311671357587e-05,0.000744578923584985,0.0017437226855745152,0.00030793814711730223,0.0004888204670165431,0.0007013331529874204,0.0001989392777978289,0.0005026503594566717,0.00020544779003157216,0.0007246230926640077,0.0001939650554155853,0.0007441887021294453
3,0.00040221437848036816,0.0006862511622000217,4.2198119353206305e-05,4.5682347807389064e-05,1.846384966941629e-05,0.00041795625336509055,0.00028492452050471944,7.018954114926032e-05,0.000899038356627913,0.00024710544216964336,0.0011372852086288317,1.0698868617699252e-05,0.0001306030576308125,1.3834261845109877e-06,0.0013484943399766896,0.00014563503487356475,4.5683868480731907e-05,0.0007280753187122996,0.0005061464284714449,1.3187203533931846e-05,0.0002297781321869537,0.00021136095870517434,5.373481920376318e-05,0.003003706296474545,7.330421891328209e-05,7.157166401602105e-05,0.00014655909919418806,0.000638767601308326,4.175464698463118e-05,0.00015600809119827264,0.00015959987727540248,0.0027510120937020437,9.041630790317545e-05,5.5404436018604224e-05,0.0007336853382869367,8.246561427799723e-05,0.0007010806926701613,0.00020706529656274648,0.00014394916316381673,0.0001694577025234996,0.00043874970831883446,0.00029082138680824724,0.00016122060671415993,0.001189289371374806,0.0001125625747721371,5.8476656535325787e-05,6.666921405467974e-05,3.9032742061878655e-05,3.370708397086503e-05,1.1427640947040484e-05,0.0007515686636005018,3.619214465701895e-05,0.00012129764671498148,9.66568184836458e-05,6.426439710788536e-05,0.00014235666774714805,0.00013524297359379447,5.607177569000467e-06,3.5899513227045494e-05,0.0007933622515483382,0.00010250193453074181,1.604466223382281e-05,0.0004334087614794832,4.693096942988285e-05,5.4470188016484053e-05,7.832945385752267e-05,0.0003917325798771852,3.2684362514338175e-06,0.00013828651520022666,0.00014418108934038796,1.1073400781187037e-05,0.0001672385915706414,1.0783480617679885e-06,0.0031000825672426887,0.000810633949944835,0.0001919514248269131,6.31373530292075e-05,0.00027934327071593896,4.8802094972277755e-05,0.0026375266649054604,0.0005151145171155403,4.257055805800361e-05,9.695964513757859e-05,3.2495114134626825e-05,0.00010315151036978822,0.0013035095014848077,0.0002261050944348795,0.00033136683123207686,0.0004597119521977398,6.296311671357587e-05,1.758557901033705e-05,0.0012249597082193034,0.00013955421538402034,0.0004888204670165431,0.00011354811466794337,0.0001989392777978289,0.0003712266883240109,4.2525215363413325e-05,0.0007246230926640077,0.0001939650554155853,0.00036896021527824135
4,0.00040221437848036816,0.00039159285957864,4.2198119353206305e-05,4.5682347807389064e-05,1.846384966941629e-05,2.624868510735426e-05,0.00028492452050471944,7.018954114926032e-05,0.0003814739953893887,4.766352559100936e-05,0.0009406797758239874,1.0698868617699252e-05,0.0001306030576308125,1.3834261845109877e-06,0.0013331708893658068,0.00014563503487356475,4.5683868480731907e-05,7.596854427458943e-06,0.0004439435596867074,1.3187203533931846e-05,0.0001471692673777464,0.00021136095870517434,5.373481920376318e-05,0.00021300841703218203,2.0037373433802498e-05,7.157166401602105e-05,4.9487764976196526e-05,8.190060568857224e-05,3.0002769050520543e-06,4.6219109292397946e-05,0.00015959987727540248,0.0027510120937020437,9.041630790317545e-05,5.5404436018604224e-05,0.00022956571007034122,8.246561427799723e-05,2.631156185900904e-05,7.7347983818963e-05,8.948038003027897e-06,0.0001694577025234996,3.853209446848781e-05,0.00029082138680824724,0.00016122060671415993,0.0010744965257571772,0.0001125625747721371,1.9043226288163172e-07,6.666921405467974e-05,3.9032742061878655e-05,2.9096751948031345e-05,1.1427640947040484e-05,0.00015999209289109894,6.027773514323048e-06,0.00012129764671498148,9.66568184836458e-05,6.426439710788536e-05,2.0176057382658176e-05,0.00013524297359379447,5.607177569000467e-06,3.5899513227045494e-05,7.51258881770347e-06,3.223687293019148e-05,1.604466223382281e-05,0.0004334087614794832,4.693096942988285e-05,5.4470188016484053e-05,2.3089745800354013e-06,0.00012896539635584418,3.2684362514338175e-06,2.8412262946551267e-05,1.7582329406700998e-05,1.1073400781187037e-05,8.71509558056553e-05,1.0783480617679885e-06,0.0031000825672426887,0.0005891634608226346,0.00016914890149688036,6.31373530292075e-05,0.00027934327071593896,4.8802094972277755e-05,0.0026375266649054604,0.0005151145171155403,4.257055805800361e-05,9.695964513757859e-05,3.2495114134626825e-05,3.9667165847739525e-05,0.0006957386217437537,1.9711588302743335e-05,0.00033136683123207686,0.00019421726095010097,6.296311671357587e-05,1.758557901033705e-05,0.000818364701031732,0.00013955421538402034,1.1564854926295132e-05,0.00011354811466794337,0.0001989392777978289,0.0001492716808152163,4.059812214378029e-05,0.0002700508946340958,0.0001939650554155853,0.00023542363738962495
5,0.0002868842953993177,0.00013266776458297982,4.2198119353206305e-05,3.599608302986023e-05,1.846384966941629e-05,2.624868510735426e-05,4.000864457786737e-06,4.656103967631116e-05,3.272256082888116e-05,4.766352559100936e-05,9.718280784744143e-06,1.0698868617699252e-05,0.0001306030576308125,1.3834261845109877e-06,3.245757398687951e-05,4.516065763161488e-05,1.4183201973818602e-05,7.596854427458943e-06,0.00039441103897672484,1.3187203533931846e-05,1.181431979196237e-05,3.77381224833623e-05,5.373481920376318e-05,0.00021300841703218203,1.4009465231828585e-05,7.157166401602105e-05,4.9487764976196526e-05,8.190060568857224e-05,3.0002769050520543e-06,3.213135985910322e-05,1.342367824566387e-05,0.0015619803650318126,9.041630790317545e-05,5.5404436018604224e-05,3.999688102355359e-05,6.477045985484503e-05,2.631156185900904e-05,7.7347983818963e-05,8.948038003027897e-06,0.0001694577025234996,3.853209446848781e-05,5.364613005438551e-05,4.313067868459575e-05,0.001027983366236884,0.0001125625747721371,1.9043226288163172e-07,2.0876546209219776e-05,4.217521769097149e-06,5.595882541289033e-06,1.1427640947040484e-05,0.00015999209289109894,6.027773514323048e-06,5.687303606386357e-05,9.66568184836458e-05,6.426439710788536e-05,5.599937949543496e-07,0.00013524297359379447,5.607177569000467e-06,3.5899513227045494e-05,7.51258881770347e-06,1.0593097832434404e-05,1.604466223382281e-05,0.00029479390687369653,4.693096942988285e-05,1.631978767098766e-05,2.3089745800354013e-06,4.873297380990938e-05,3.2684362514338175e-06,2.8412262946551267e-05,1.7582329406700998e-05,1.1073400781187037e-05,8.116386852285534e-05,1.0783480617679885e-06,0.00011319397712839011,0.0005891634608226346,2.9087366008919022e-05,6.31373530292075e-05,0.00027934327071593896,4.8802094972277755e-05,0.0026375266649054604,0.0004900027128963925,2.3193801113578652e-05,4.975066135874199e-05,3.2495114134626825e-05,3.9667165847739525e-05,0.00013920802521778504,1.9711588302743335e-05,0.00011681148535978614,0.00013199017479810548,3.052100145082467e-05,1.758557901033705e-05,5.600795524823444e-07,0.00013955421538402034,4.623344294674536e-06,0.00011354811466794337,3.237052703336958e-05,4.11638936275599e-07,2.5231690180429927e-05,6.305732363247907e-05,0.0001939650554155853,0.00011898876918495871
6,0.000220415168295959,5.7154724325675084e-05,4.2198119353206305e-05,3.599608302986023e-05,1.846384966941629e-05,2.624868510735426e-05,4.000864457786737e-06,2.3545322998539917e-08,3.244568572515663e-05,4.766352559100936e-05,9.718280784744143e-06,1.0698868617699252e-05,1.0280330697442252e-05,1.3834261845109877e-06,3.245757398687951e-05,1.549924630557473e-06,1.4183201973818602e-05,7.596854427458943e-06,4.805094209340338e-05,1.3187203533931846e-05,1.181431979196237e-05,3.77381224833623e-05,4.535381688651134e-05,2.1117008997090848e-05,9.917847381012666e-06,1.432232403074169e-05,2.263272157731348e-05,1.1712363014038003e-05,3.0002769050520543e-06,3.213135985910322e-05,1.5841198429330796e-06,0.0015619803650318126,9.041630790317545e-05,2.3923905935376746e-05,3.480137148473396e-05,6.477045985484503e-05,2.631156185900904e-05,7.7347983818963e-05,8.948038003027897e-06,0.0001694577025234996,3.853209446848781e-05,5.364613005438551e-05,4.313067868459575e-05,0.0005679286971227834,0.0001125625747721371,1.9043226288163172e-07,2.0876546209219776e-05,4.217521769097149e-06,2.754326027877556e-07,1.1427640947040484e-05,0.00015999209289109894,6.027773514323048e-06,4.841948676815057e-05,9.66568184836458e-05,1.326855609920605e-05,5.599937949543496e-07,3.097099753345691e-06,5.607177569000467e-06,3.856142398525637e-06,7.51258881770347e-06,9.070888446873274e-08,9.494180681279448e-06,3.620574588695061e-05,4.693096942988285e-05,1.631978767098766e-05,9.998563200263939e-07,3.020756563274433e-05,3.2684362514338175e-06,4.282508848516304e-06,7.635161332292456e-06,1.1073400781187037e-05,8.116386852285534e-05,1.0783480617679885e-06,0.00011319397712839011,1.0115620883296559e-05,2.9087366008919022e-05,4.920113480461638e-06,0.00027934327071593896,1.0812610426600449e-05,0.00015348120844070997,0.00022791086597965968,2.3193801113578652e-05,4.975066135874199e-05,3.2495114134626825e-05,2.7376761285829545e-05,0.00013920802521778504,1.9711588302743335e-05,1.843725017753615e-05,7.91521485214283e-06,3.052100145082467e-05,4.9253232840186895e-08,5.600795524823444e-07,6.764688920164603e-05,4.623344294674536e-06,3.930447256594615e-05,2.9548141136633436e-05,4.11638936275599e-07,7.110906181274873e-07,5.085879296807931e-05,1.6051844156610447e-05,5.7367748499012975e-05
7,1.990579514253793e-06,9.780367302060735e-06,4.2198119353206305e-05,3.599608302986023e-05,1.846384966941629e-05,4.8364533948122626e-06,4.000864457786737e-06,2.3545322998539917e-08,3.244568572515663e-05,3.988675990040776e-05,9.718280784744143e-06,1.0698868617699252e-05,1.0280330697442252e-05,1.3834261845109877e-06,3.245757398687951e-05,1.3605903826394535e-06,1.1483487340915364e-05,7.596854427458943e-06,4.805094209340338e-05,1.1431230423205762e-05,1.181431979196237e-05,8.015310625557303e-06,2.5200196386294626e-05,1.2712475383067858e-05,9.917847381012666e-06,1.432232403074169e-05,2.263272157731348e-05,5.590475271659794e-06,3.0002769050520543e-06,3.213135985910322e-05,1.5841198429330796e-06,0.00014624007259173862,9.041630790317545e-05,2.3923905935376746e-05,4.458840465626309e-06,1.5159293777729492e-05,2.0520409611219065e-06,3.918222296371036e-05,4.493631291436796e-06,0.0001694577025234996,3.622017242011438e-05,4.1582333752442915e-05,4.262020925815655e-05,0.0005679286971227834,2.74973958352464e-05,1.9043226288163172e-07,2.0876546209219776e-05,4.217521769097149e-06,2.754326027877556e-07,1.1427640947040484e-05,0.00015999209289109894,4.564680021060579e-06,2.1510099473894365e-05,9.66568184836458e-05,6.0783522130502006e-06,4.045226419731089e-07,3.097099753345691e-06,5.607177569000467e-06,3.856142398525637e-06,3.550148746413282e-06,9.070888446873274e-08,9.494180681279448e-06,3.620574588695061e-05,1.96028159629377e-05,1.631978767098766e-05,9.998563200263939e-07,1.9342766240082037e-06,3.2684362514338175e-06,4.282508848516304e-06,3.1417214724631948e-06,1.1073400781187037e-05,4.062841600284203e-05,3.5569480406746966e-07,5.669587806709143e-06,1.8527418871628483e-06,6.525902582803401e-07,4.920113480461638e-06,7.928994690255506e-06,1.0812610426600449e-05,0.00015348120844070997,0.0001943087634667157,2.3193801113578652e-05,4.582362140868108e-07,5.197569290041801e-06,6.69991173806098e-06,3.6674342597341045e-06,7.64605128627116e-06,1.843725017753615e-05,2.6601040546228448e-06,4.838008381434325e-06,4.9253232840186895e-08,5.600795524823444e-07,1.2402115860851502e-06,1.6605173123504209e-06,9.191731263895405e-06,1.5056809455268573e-05,4.11638936275599e-07,5.748783123063277e-07,5.085879296807931e-05,1.6051844156610447e-05,2.730021138388377e-05
8,1.990579514253793e-06,3.9375801871559485e-06,2.905419442942283e-06,2.1175139874735307e-07,6.179631276513248e-07,1.6419793672928112e-06,4.000864457786737e-06,2.3545322998539917e-08,8.487020729386549e-06,7.248072160094022e-07,8.418596366362668e-06,2.030702564176984e-06,1.0280330697442252e-05,2.4125853936874904e-07,7.55486129855869e-07,1.3605903826394535e-06,1.1483487340915364e-05,7.596854427458943e-06,3.6136758079710447e-06,1.1431230423205762e-05,8.39494138290661e-06,8.015310625557303e-06,5.547634886483553e-06,1.2712475383067858e-05,2.5814248612477197e-06,9.647109578852872e-07,3.2417491869210485e-06,5.590475271659794e-06,3.0002769050520543e-06,2.3518417664821483e-06,1.5841198429330796e-06,4.307366734807772e-05,5.5395926925535616e-05,1.3392749572015387e-07,4.458840465626309e-06,7.077173252037094e-06,2.0520409611219065e-06,8.576071991723354e-06,3.395967722011589e-06,7.663765437353826e-06,3.622017242011438e-05,8.14280665832708e-06,3.155777848158728e-05,1.4037860550146564e-06,2.0001989738650405e-05,1.9043226288163172e-07,1.882874082880654e-05,4.217521769097149e-06,2.754326027877556e-07,1.1427640947040484e-05,5.8475846056165236e-05,4.564680021060579e-06,4.6776097426832006e-06,2.6253345264700708e-05,6.0783522130502006e-06,4.045226419731089e-07,3.097099753345691e-06,3.981867488632231e-06,1.6546375763044988e-06,3.550148746413282e-06,9.070888446873274e-08,9.494180681279448e-06,2.8017060550379834e-05,1.3544278562919398e-07,1.1907111078202742e-05,9.998563200263939e-07,1.9342766240082037e-06,1.4995689295017822e-07,2.3042854098051103e-06,7.864754771558368e-07,1.5209941567911304e-06,2.3955631248888573e-05,3.5569480406746966e-07,5.669587806709143e-06,1.8527418871628483e-06,4.335786831164707e-07,4.920113480461638e-06,7.928994690255506e-06,6.056721890693855e-06,6.851440070251514e-05,0.0001034205697166158,9.451070432357297e-06,4.582362140868108e-07,5.145470057231575e-06,6.69991173806098e-06,3.6674342597341045e-06,7.64605128627116e-06,1.843725017753615e-05,2.6601040546228448e-06,3.311061169219804e-06,4.9253232840186895e-08,5.600795524823444e-07,9.257298019999158e-07,1.6605173123504209e-06,9.191731263895405e-06,8.10001501528491e-06,4.11638936275599e-07,4.6029255749801954e-07,4.415141826650497e-05,1.9228144277891107e-06,9.179289409088867e-06
9,1.990579514253793e-06,2.6610688651699754e-07,2.905419442942283e-06,2.1175139874735307e-07,6.179631276513248e-07,9.668303793458287e-07,4.000864457786737e-06,2.3545322998539917e-08,8.487020729386549e-06,7.248072160094022e-07,7.248352308176124e-06,2.030702564176984e-06,1.0280330697442252e-05,2.4125853936874904e-07,7.55486129855869e-07,1.3605903826394535e-06,1.754905365299293e-07,7.596854427458943e-06,3.6136758079710447e-06,1.1431230423205762e-05,6.591976825248098e-09,8.015310625557303e-06,4.748968599938921e-06,1.2712475383067858e-05,2.5814248612477197e-06,9.647109578852872e-07,6.495346038579351e-07,2.339500199467611e-06,9.11031863203702e-07,2.3518417664821483e-06,5.281640563052647e-07,9.537490883830898e-06,5.726747490518505e-07,1.3392749572015387e-07,7.114889866225814e-07,7.077173252037094e-06,5.158234686059862e-07,6.814753388317095e-06,2.708510801501469e-06,6.234775280245791e-06,3.3257580577435584e-05,7.347610630328629e-06,8.508208665253833e-06,1.4037860550146564e-06,2.0001989738650405e-05,1.9043226288163172e-07,1.882874082880654e-05,4.217521769097149e-06,2.754326027877556e-07,5.020650721457816e-06,5.8475846056165236e-05,3.390570208685123e-06,8.463256003121032e-07,2.482927895669783e-06,6.0783522130502006e-06,7.057809769615684e-08,8.644518794855738e-07,1.5548436926383376e-06,5.078497250734346e-07,2.421367295708339e-06,9.070888446873274e-08,1.3753903060077791e-06,2.290137857342894e-06,1.3544278562919398e-07,1.3977940816620878e-06,7.259023808738576e-08,1.9342766240082037e-06,1.4995689295017822e-07,4.730976249957066e-08,7.864754771558368e-07,1.3866399179321685e-06,1.4836943789705265e-07,2.3222035609554803e-07,1.2832508714008857e-06,1.8527418871628483e-06,4.335786831164707e-07,4.920113480461638e-06,7.913613548375358e-06,2.7725504242959792e-06,6.851440070251514e-05,1.6454323911735594e-05,3.8683841439962046e-07,4.582362140868108e-07,5.145470057231575e-06,6.69991173806098e-06,3.6674342597341045e-06,6.33259744673487e-06,7.9414494323819e-06,2.1312753883565284e-06,1.0381705106665154e-06,4.9253232840186895e-08,5.600795524823444e-07,9.257298019999158e-07,1.6605173123504209e-06,4.7366506444048225e-06,2.771013916121343e-06,3.925190538951146e-07,4.6029255749801954e-07,5.079033153903661e-06,1.9228144277891107e-06,4.773412732541726e-06
